division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
276      / 3254,"Maguire, Sinead E.",Jersey City,F,28,206.07,8412,3614     / 13408,NJ,336      / 4814,201.37,USA
1381     / 3254,"Linask, K. Liisi",Sicklerville,F,27,230.60,8413,7150     / 13408,NJ,1707     / 4814,225.45,USA
194      / 3254,"Sondag, Barb C.",Urbana,F,36,202.32,8414,3115     / 13408,IL,243      / 4814,197.15,USA
447      / 1311,"Behrens, Jeff B.",Gladstone,M,52,219.15,8416,5439     / 13408,MO,4557     / 8594,213.30,USA
704      / 1311,"Galena, Harold J.",Merion,M,54,232.13,8417,7392     / 13408,PA,5574     / 8594,226.42,USA
2043     / 3254,"Kokomoor, Katey S.",Noank,F,38,245.42,8418,9100     / 13408,CT,2801     / 4814,239.55,USA
237      / 1311,"Bourgoin, Bryant P.",Winslow,M,50,208.62,8419,3940     / 13408,ME,3529     / 8594,202.52,USA
829      / 1311,"Finn, Paul",Louisville,M,50,241.88,8420,8696     / 13408,KY,6121     / 8594,236.88,USA
532      / 1311,"Kirk, Joseph P.",Pittsburgh,M,50,223.02,8421,6006     / 13408,PA,4887     / 8594,217.70,USA
644      / 1311,"Burns, Lenord C.",Angleton,M,54,229.02,8422,6915     / 13408,TX,5333     / 8594,223.07,USA
679      / 3254,"Shockley, Valerie D.",Greenwood Village,F,35,217.88,8423,5260     / 13408,CO,817      / 4814,213.68,USA
393      / 1311,"Koll, Guenter",Markkleeberg,M,59,216.43,8424,5064     / 13408,,4319     / 8594,211.03,GER
33       / 257,"Kimura, Isamu",Ibaraki,M,65,219.47,8425,5483     / 13408,,4586     / 8594,215.43,JPN
849      / 3254,"Verschoore, Marta M.",Rock Island,F,36,221.57,8426,5805     / 13408,IL,1023     / 4814,216.03,USA
852      / 1311,"Landry, John M.",Midlothian,M,50,243.30,8427,8880     / 13408,VA,6202     / 8594,237.08,USA
881      / 3254,"Moote, Nanci K.",Canton,F,33,222.25,8428,5902     / 13408,MI,1064     / 4814,216.43,USA
749      / 1311,"Brugger, Robert J.",Dayton,M,50,235.18,8429,7819     / 13408,OH,5766     / 8594,230.12,USA
19       / 257,"Lauricks, Juergen",Dortmund,M,66,208.60,8430,3937     / 13408,,3526     / 8594,203.55,GER
152      / 1263,"Beckett, Dorothy",Columbia,F,43,220.92,8431,5694     / 13408,MD,990      / 4814,214.57,USA
1100     / 1311,"Coffman, Steve D.",Alexandria,M,53,280.25,8432,11636    / 13408,VA,7600     / 8594,274.63,USA
1075     / 1311,"Boldt, Charles A. Jr.",Spring Hill,M,50,274.52,8433,11359    / 13408,FL,7458     / 8594,268.77,USA
1116     / 1311,"Noble, Keith F.",Springfield,M,51,282.13,8435,11727    / 13408,MO,7649     / 8594,276.82,USA
905      / 1311,"Pohl, Steven H.",Plainville,M,51,248.50,8436,9412     / 13408,CT,6446     / 8594,243.68,USA
228      / 3254,"Kolp, Lisa K.",Nantucket,F,30,204.18,8437,3339     / 13408,MA,283      / 4814,199.25,USA
980      / 1311,"Henderson, Tom",Lowell,M,58,259.35,8438,10337    / 13408,MA,6910     / 8594,253.98,USA
638      / 1311,"Stenhouse, Sherrif",Upper Darby,M,53,228.70,8439,6869     / 13408,PA,5310     / 8594,222.97,USA
505      / 1311,"Stutz, Sidney",Franklin,M,51,221.63,8440,5816     / 13408,MI,4789     / 8594,216.45,USA
2601     / 3254,"Mortensen, Nicholle L.",Iowa City,F,22,270.00,8441,11081    / 13408,IA,3779     / 4814,264.18,USA
657      / 1311,"LeGalley, Thomas M.",Davison,M,50,229.92,8442,7048     / 13408,MI,5393     / 8594,224.53,USA
398      / 3254,"McGrath, Mary P.",New York,F,38,210.32,8443,4215     / 13408,NY,484      / 4814,205.45,USA
46       / 257,"Hopkins, John M.",New Richmond,M,60,223.70,8444,6115     / 13408,WI,4946     / 8594,218.23,USA
510      / 1311,"Griffin, Gary F.",Tallahassee,M,51,221.73,8446,5838     / 13408,FL,4804     / 8594,215.67,USA
874      / 1311,"Pacenta, Robert J.",Akron,M,52,244.85,8447,9035     / 13408,OH,6266     / 8594,239.43,USA
573      / 3254,"Pacheco, Kimberly K.",Brooklyn,F,32,215.32,8448,4912     / 13408,NY,696      / 4814,209.95,USA
669      / 3254,"Lynch, Erin D.",Tampa,F,29,217.70,8449,5236     / 13408,FL,807      / 4814,212.20,USA
126      / 1263,"May, Paula D.",Peachtree City,F,48,217.52,8450,5213     / 13408,GA,800      / 4814,214.48,USA
592      / 1311,"Dean, Richard",Overland Park,M,52,226.22,8451,6507     / 13408,KS,5131     / 8594,220.22,USA
1095     / 1311,"Grobe, Bob",Brooklyn,M,52,279.12,8454,11590    / 13408,NY,7573     / 8594,274.02,USA
823      / 1311,"Lamb, John T.",Elmhurst,M,54,241.05,8455,8613     / 13408,IL,6085     / 8594,235.15,USA
