division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
1        / 28,"Van Dyk, Ernst F.",North Einpaarl,M,31,78.45,W1,1        / 43,,1        / 35,78.45,RSA
1        / 3697,"Ndereba, Catherine",,F,31,144.45,F1,13       / 16743,,1        / 6239,144.45,KEN
6        / 3995,"Kimutai, Benjamin Kosgei",,M,33,137.75,2,6        / 16743,,6        / 10504,137.75,KEN
2        / 28,"Jeannot, Joel",Saint Astier,M,38,81.13,W2,2        / 43,,2        / 35,81.13,FRA
4        / 3697,"Prokopcuka, Jelena",,F,27,150.27,F2,23       / 16743,,4        / 6239,150.27,LAT
6        / 28,"Hanaoka, Nobukazu",Tamashi Tokyo,M,28,86.10,W3,6        / 43,,6        / 35,86.10,JPN
2        / 3697,"Alemu, Elfenesh",,F,28,144.72,F3,14       / 16743,,2        / 6239,144.72,ETH
1        / 3995,"Cherigat, Timothy",,M,27,130.62,4,1        / 16743,,1        / 10504,130.62,KEN
5        / 3697,"Olaru, Nuta",,F,33,150.73,F4,24       / 16743,,5        / 6239,150.73,ROM
3        / 3697,"Jevtic, Olivera",,F,26,147.57,F5,18       / 16743,,3        / 6239,147.57,SER
4        / 28,"Smith, Kelly W.",Vancouver,M,39,84.07,W5,4        / 43,BC,4        / 35,84.07,CAN
3        / 3995,"Lel, Martin",,M,25,133.63,5,3        / 16743,,3        / 10504,133.63,KEN
8        / 28,"Hollonbeck, Scot",Atlanta,M,34,89.27,W6,8        / 43,GA,8        / 35,89.27,USA
6        / 3697,"Denisova, Lyubov",,F,32,151.28,F6,26       / 16743,,6        / 6239,151.28,RUS
5        / 3995,"Negussie, Hailu",,M,24,137.50,7,5        / 16743,,5        / 10504,137.50,ETH
3        / 28,"Nietlispach, Franz",Zeiningen,M,46,83.12,W7,3        / 43,,3        / 35,83.12,SUI
7        / 3697,"Sobanska, Malgorzata",,F,34,152.38,F7,29       / 16743,,7        / 6239,152.38,POL
5        / 28,"Lemeunier, Denis",Taule- France,M,38,86.08,W8,5        / 43,,5        / 35,86.08,FRA
18       / 3995,"Kipkemboi, Laban",,M,26,151.28,8,27       / 16743,,21       / 10504,151.28,KEN
8        / 3697,"Klimina, Victoria",,F,28,153.33,F9,32       / 16743,,8        / 6239,153.33,RUS
13       / 28,"Byers, Tyler G.",Tucson,M,21,99.25,W10,13       / 43,AZ,13       / 35,99.25,USA
8        / 3995,"Rono, Elly",,M,33,142.75,10,10       / 16743,,10       / 10504,142.75,KEN
15       / 28,"Mueller, Guido",Unterkulm,M,44,101.53,W11,17       / 43,,15       / 35,101.53,SUI
7        / 28,"Bergman, Alan J.",Cobble Hill,M,30,88.25,W12,7        / 43,BC,7        / 35,88.25,CAN
13       / 3995,"Trfe, Dawit",,M,19,147.90,14,19       / 16743,,16       / 10504,147.90,ETH
12       / 28,"George, Joshua S.",Urbana,M,20,96.98,W14,12       / 43,IL,12       / 35,96.98,USA
10       / 28,"Ellefson, Stephen J.",Calgary,M,49,96.10,W15,10       / 43,AB,10       / 35,96.10,CAN
19       / 28,"Oliveira, Carlos R.",Danbury,M,43,109.40,W16,22       / 43,CT,19       / 35,109.40,USA
2        / 3995,"Cheboror, Robert",,M,25,131.82,16,2        / 16743,,2        / 10504,131.82,KEN
4        / 3995,"Kiogora, Stephen",,M,29,134.57,17,4        / 16743,,4        / 10504,134.57,KEN
9        / 28,"Filteau, Michel",St Jean Baptiste,M,37,90.48,W18,9        / 43,PQ,9        / 35,90.48,CAN
7        / 3995,"Letherby, Andrew",,M,30,139.52,18,8        / 16743,,8        / 10504,139.52,AUS
14       / 28,"Johnson, Chad B.",Corydon,M,28,100.50,W19,15       / 43,IN,14       / 35,100.50,USA
9        / 3697,"Yamamoto, Ai",Miyasaki,F,25,154.53,F20,39       / 16743,,10       / 6239,154.53,JPN
25       / 28,"Mamoru, Kusano","Kunitachi,tokyo",M,45,120.65,W20,33       / 43,,27       / 35,120.65,JPN
10       / 3697,"Tabashi, Rika",Fukuoka,F,22,161.68,F21,62       / 16743,,11       / 6239,161.68,JPN
23       / 28,"Saito, Nobuhiro",Tokyo,M,31,119.28,W21,30       / 43,,24       / 35,119.28,JPN
20       / 28,"Kelly, Timothy",Weymouth,M,37,111.22,W22,23       / 43,MA,20       / 35,111.22,USA
11       / 3697,"Rodriguez Galvan, Jessica",Guanajuato,F,27,170.95,F23,133      / 16743,,12       / 6239,170.95,MEX
11       / 28,"Doak, Patrick A.",Cumming,M,36,96.45,W23,11       / 43,GA,11       / 35,96.45,USA
21       / 28,"Wachi, Hiroshi","Kunitachi,tokyo",M,38,115.12,W24,27       / 43,,21       / 35,115.12,JPN
12       / 3697,"Niggemeier, Andrea",Philadelphia,F,34,170.98,F24,134      / 16743,PA,13       / 6239,170.98,USA
31       / 3697,"Bates, Emily A.",Cambridge,F,27,189.98,F25,631      / 16743,MA,41       / 6239,189.98,USA
16       / 28,"Fowler, Jason M.",Boston,M,30,107.65,W25,19       / 43,MA,16       / 35,107.65,USA
21       / 3995,"Takeda, Hiroaki",Kagawa,M,29,153.37,25,33       / 16743,,25       / 10504,153.37,JPN
23       / 3995,"Isono, Minoru",Ibaraki,M,30,154.12,27,36       / 16743,,28       / 10504,154.12,JPN
27       / 28,"Gillam, Mike A.",Muncie,M,32,123.45,W28,35       / 43,IN,29       / 35,123.45,USA
